#ID;TIME;DOSE;ADDL;II;Y;YTYPE;CENS;CELL LINE;DOSE GROUP;DOSECAT;DRUG;DRUGCAT;EXPERIMENT;BW;YTV;KA;V;KE;w0;I
22;14;.;.;.;19.456;2;.;1;100;100;2;2;2;22.4;19.456;55;1.3966;2.3789;150.3815;0.0077169
24;0;.;.;.;83.824;2;.;1;100;100;2;2;2;27.6;.;55;1.4059;2.653;83.824;0.0077169
24;3;2800;.;.;.;.;.;1;100;100;2;2;2;27.6;.;55;1.4059;2.653;83.824;0.0077169
24;4;2700;2;1;.;.;.;1;100;100;2;2;2;26.7;.;55;1.4059;2.653;83.824;0.0077169
24;7;2600;1;1;.;.;.;1;100;100;2;2;2;26.1;.;55;1.4059;2.653;83.824;0.0077169
24;9;2700;1;1;.;.;.;1;100;100;2;2;2;26.9;.;55;1.4059;2.653;83.824;0.0077169
24;11;2600;2;1;.;.;.;1;100;100;2;2;2;26;.;55;1.4059;2.653;83.824;0.0077169
24;14;2500;1;1;.;.;.;1;100;100;2;2;2;25.4;.;55;1.4059;2.653;83.824;0.0077169
24;16;2500;.;.;.;.;.;1;100;100;2;2;2;25.2;.;55;1.4059;2.653;83.824;0.0077169
24;30;.;.;.;173.4;2;.;1;100;100;2;2;2;28.3;173.4;55;1.4059;2.653;83.824;0.0077169
24;4;.;.;.;152.626;2;.;1;100;100;2;2;2;26.7;152.626;55;1.4059;2.653;83.824;0.0077169
24;28;.;.;.;141.312;2;.;1;100;100;2;2;2;28.6;141.312;55;1.4059;2.653;83.824;0.0077169
24;2;.;.;.;117;2;.;1;100;100;2;2;2;27.6;117;55;1.4059;2.653;83.824;0.0077169
24;7;.;.;.;76.7295;2;.;1;100;100;2;2;2;26.1;76.7295;55;1.4059;2.653;83.824;0.0077169
24;25;.;.;.;66.25;2;.;1;100;100;2;2;2;27.6;66.25;55;1.4059;2.653;83.824;0.0077169
24;9;.;.;.;64.512;2;.;1;100;100;2;2;2;26.9;64.512;55;1.4059;2.653;83.824;0.0077169
24;23;.;.;.;40.678;2;.;1;100;100;2;2;2;26.2;40.678;55;1.4059;2.653;83.824;0.0077169
24;11;.;.;.;34.656;2;.;1;100;100;2;2;2;26;34.656;55;1.4059;2.653;83.824;0.0077169
24;21;.;.;.;17.298;2;.;1;100;100;2;2;2;26.9;17.298;55;1.4059;2.653;83.824;0.0077169
24;14;.;.;.;10;2;.;1;100;100;2;2;2;25.4;10;55;1.4059;2.653;83.824;0.0077169
