#ID,TIME,DOSE,ADDL,II,Y,YTYPE,CENS,CELL LINE,DOSE GROUP,DRUG,DRUGCAT,EXPERIMENT,BW,YTV,KA,V,KE,w0
136,14,.,.,.,534.1545,2,.,1,0,2,0,2,24.1,534.1545,55,1.11,3.98,118.5885
140,16,.,.,.,480.298,2,.,1,0,2,0,2,24.3,480.298,55,1.11,3.98,79.3305
169,21,.,.,.,479.859,2,.,1,0,2,0,2,27.9,479.859,55,1.11,3.98,123.008
170,25,.,.,.,439.6155,2,.,1,0,2,0,2,28.7,439.6155,55,1.11,3.98,80.0565
95,4,.,.,.,429.3,2,.,1,0,2,0,2,22.4,429.3,55,1.11,3.98,186.2
94,25,.,.,.,426.4715,2,.,1,0,2,0,2,20.3,426.4715,55,1.11,3.98,77.2475
140,14,.,.,.,419.05,2,.,1,0,2,0,2,24.8,419.05,55,1.11,3.98,79.3305
170,23,.,.,.,418.176,2,.,1,0,2,0,2,27.3,418.176,55,1.11,3.98,80.0565
94,23,.,.,.,405.769,2,.,1,0,2,0,2,20.2,405.769,55,1.11,3.98,77.2475
169,18,.,.,.,392.85,2,.,1,0,2,0,2,26.6,392.85,55,1.11,3.98,123.008
94,18,.,.,.,389.207,2,.,1,0,2,0,2,18.7,389.207,55,1.11,3.98,77.2475
94,21,.,.,.,389.207,2,.,1,0,2,0,2,20,389.207,55,1.11,3.98,77.2475
136,11,.,.,.,370.44,2,.,1,0,2,0,2,22.9,370.44,55,1.11,3.98,118.5885
170,21,.,.,.,368.3265,2,.,1,0,2,0,2,28.7,368.3265,55,1.11,3.98,80.0565
169,16,.,.,.,356.445,2,.,1,0,2,0,2,27.6,356.445,55,1.11,3.98,123.008
155,4,.,.,.,356.328,2,.,1,0,2,0,2,27.5,356.328,55,1.11,3.98,105.875
140,11,.,.,.,355.2,2,.,1,0,2,0,2,23.5,355.2,55,1.11,3.98,79.3305
140,9,.,.,.,345.744,2,.,1,0,2,0,2,25,345.744,55,1.11,3.98,79.3305
169,14,.,.,.,333.036,2,.,1,0,2,0,2,28,333.036,55,1.11,3.98,123.008
40,4,.,.,.,330.672,2,.,1,0,2,0,2,26.5,330.672,55,1.11,3.98,191.808
94,16,.,.,.,306.936,2,.,1,0,2,0,2,18.2,306.936,55,1.11,3.98,77.2475
170,18,.,.,.,305.0865,2,.,1,0,2,0,2,26.8,305.0865,55,1.11,3.98,80.0565
136,7,.,.,.,302.6885,2,.,1,0,2,0,2,28,302.6885,55,1.11,3.98,118.5885
136,9,.,.,.,302.6885,2,.,1,0,2,0,2,25.1,302.6885,55,1.11,3.98,118.5885
169,11,.,.,.,278.8425,2,.,1,0,2,0,2,26.6,278.8425,55,1.11,3.98,123.008
94,11,.,.,.,264.654,2,.,1,0,2,0,2,17.9,264.654,55,1.11,3.98,77.2475
94,14,.,.,.,264.654,2,.,1,0,2,0,2,18.4,264.654,55,1.11,3.98,77.2475
140,7,.,.,.,261.121,2,.,1,0,2,0,2,24.4,261.121,55,1.11,3.98,79.3305
40,2,.,.,.,249.158,2,.,1,0,2,0,2,26.1,249.158,55,1.11,3.98,191.808
95,2,.,.,.,246.42,2,.,1,0,2,0,2,23,246.42,55,1.11,3.98,186.2
170,16,.,.,.,246.402,2,.,1,0,2,0,2,28.9,246.402,55,1.11,3.98,80.0565
169,9,.,.,.,246.0535,2,.,1,0,2,0,2,27.3,246.0535,55,1.11,3.98,123.008
136,4,.,.,.,229.992,2,.,1,0,2,0,2,28.3,229.992,55,1.11,3.98,118.5885
169,7,.,.,.,205.1665,2,.,1,0,2,0,2,26.2,205.1665,55,1.11,3.98,123.008
170,14,.,.,.,204.1605,2,.,1,0,2,0,2,29.5,204.1605,55,1.11,3.98,80.0565
170,11,.,.,.,194.0785,2,.,1,0,2,0,2,28.6,194.0785,55,1.11,3.98,80.0565
94,9,.,.,.,189.486,2,.,1,0,2,0,2,18.7,189.486,55,1.11,3.98,77.2475
169,4,.,.,.,176.4,2,.,1,0,2,0,2,26.2,176.4,55,1.11,3.98,123.008
170,9,.,.,.,176.157,2,.,1,0,2,0,2,29.3,176.157,55,1.11,3.98,80.0565
136,2,.,.,.,175.071,2,.,1,0,2,0,2,26.2,175.071,55,1.11,3.98,118.5885
155,2,.,.,.,167.706,2,.,1,0,2,0,2,27.3,167.706,55,1.11,3.98,105.875
94,7,.,.,.,165.528,2,.,1,0,2,0,2,18.3,165.528,55,1.11,3.98,77.2475
170,7,.,.,.,158.994,2,.,1,0,2,0,2,28.8,158.994,55,1.11,3.98,80.0565
140,4,.,.,.,146.072,2,.,1,0,2,0,2,23.6,146.072,55,1.11,3.98,79.3305
169,2,.,.,.,128.774,2,.,1,0,2,0,2,26.8,128.774,55,1.11,3.98,123.008
140,2,.,.,.,126.852,2,.,1,0,2,0,2,23.6,126.852,55,1.11,3.98,79.3305
94,4,.,.,.,125.316,2,.,1,0,2,0,2,18.5,125.316,55,1.11,3.98,77.2475
170,4,.,.,.,109.33,2,.,1,0,2,0,2,27.9,109.33,55,1.11,3.98,80.0565
170,2,.,.,.,94.221,2,.,1,0,2,0,2,27.7,94.221,55,1.11,3.98,80.0565
94,2,.,.,.,88.4835,2,.,1,0,2,0,2,18.2,88.4835,55,1.11,3.98,77.2475
