#ID;TIME;DOSE;ADDL;II;Y;YTYPE;CENS;CELL LINE;DOSE GROUP;DRUG;EXPERIMENT;TUMOR SIZE;BW
108;28;.;.;.;.;.;.;1;25;1;2;962.948;21.9
108;30;.;.;.;.;.;.;1;25;1;2;1019.592;22.6
122;0;.;.;.;.;.;.;1;25;1;2;102.602;23.2
122;2;.;.;.;.;.;.;1;25;1;2;147.875;24.3
122;3;600;.;.;.;.;.;1;25;1;2;147.875;24.3
122;4;.;.;.;.;.;.;1;25;1;2;178.596;23.6
122;4;600;2;1;.;.;.;1;25;1;2;178.596;23.6
122;7;.;.;.;.;.;.;1;25;1;2;271.4835;23.5
122;7;600;1;1;.;.;.;1;25;1;2;271.4835;23.5
122;9;.;.;.;.;.;.;1;25;1;2;271.4835;23.4
122;9;575;1;1;.;.;.;1;25;1;2;271.4835;23.4
122;10.20833333;.;.;.;828;1;.;1;25;1;2;271.4835;23.4
122;11;.;.;.;.;.;.;1;25;1;2;306.5605;22.8
122;11;575;2;1;.;.;.;1;25;1;2;306.5605;22.8
122;14;.;.;.;.;.;.;1;25;1;2;350.4125;24.6
122;14;625;1;1;.;.;.;1;25;1;2;350.4125;24.6
122;16;.;.;.;.;.;.;1;25;1;2;358.706;23.5
122;16;600;.;.;.;.;.;1;25;1;2;358.706;23.5
122;16.04097222;.;.;.;3540;1;.;1;25;1;2;358.706;23.5
122;18;.;.;.;.;.;.;1;25;1;2;384.592;22.6
122;21;.;.;.;.;.;.;1;25;1;2;491.8625;21
122;23;.;.;.;.;.;.;1;25;1;2;536.9875;21.2
122;25;.;.;.;.;.;.;1;25;1;2;620;21.8
122;28;.;.;.;.;.;.;1;25;1;2;723.168;21.7
122;30;.;.;.;.;.;.;1;25;1;2;742.5625;22.1
129;0;.;.;.;.;.;.;1;25;1;2;75.429;27.6
129;2;.;.;.;.;.;.;1;25;1;2;119.164;28.8
129;3;725;.;.;.;.;.;1;25;1;2;119.164;28.8
129;4;.;.;.;.;.;.;1;25;1;2;138.384;29
129;4;725;2;1;.;.;.;1;25;1;2;138.384;29
129;7;.;.;.;.;.;.;1;25;1;2;148.8375;28.4
129;7;700;1;1;.;.;.;1;25;1;2;148.8375;28.4
129;9;.;.;.;.;.;.;1;25;1;2;160.7445;27.5
129;9;700;1;1;.;.;.;1;25;1;2;160.7445;27.5
129;10.10347222;.;.;.;2270;1;.;1;25;1;2;160.7445;27.5
129;11;.;.;.;.;.;.;1;25;1;2;204.723;26.5
129;11;675;2;1;.;.;.;1;25;1;2;204.723;26.5
